OMNIWeb Plus Browser Results

Listing for omni_min data from 20150317 to 20150318
Selected parameters:
 1 SYM/H, nT

YYYY DOY HR MN    1 
2015  76 10 56   -63
2015  76 10 57   -64
2015  76 10 58   -64
2015  76 10 59   -63
2015  76 11  0   -62
2015  76 11  1   -60
2015  76 11  2   -59
2015  76 11  3   -58
2015  76 11  4   -57
2015  76 11  5   -57
2015  76 11  6   -58
2015  76 11  7   -60
2015  76 11  8   -61
2015  76 11  9   -59
2015  76 11 10   -60
2015  76 11 11   -60
2015  76 11 12   -60
2015  76 11 13   -59
2015  76 11 14   -58
2015  76 11 15   -55
2015  76 11 16   -52
2015  76 11 17   -52
2015  76 11 18   -54
2015  76 11 19   -54
2015  76 11 20   -52
2015  76 11 21   -51
2015  76 11 22   -50
2015  76 11 23   -49
2015  76 11 24   -50
2015  76 11 25   -50
2015  76 11 26   -50
2015  76 11 27   -50
2015  76 11 28   -49
2015  76 11 29   -49
2015  76 11 30   -49
2015  76 11 31   -48
2015  76 11 32   -47
2015  76 11 33   -47
2015  76 11 34   -45
2015  76 11 35   -44
2015  76 11 36   -43
2015  76 11 37   -41
2015  76 11 38   -42
2015  76 11 39   -43
2015  76 11 40   -43
2015  76 11 41   -41
2015  76 11 42   -42
2015  76 11 43   -42
2015  76 11 44   -43
2015  76 11 45   -44
2015  76 11 46   -44
2015  76 11 47   -42
2015  76 11 48   -44
2015  76 11 49   -45
2015  76 11 50   -45
2015  76 11 51   -45
2015  76 11 52   -44
2015  76 11 53   -45
2015  76 11 54   -45
2015  76 11 55   -45
2015  76 11 56   -44
2015  76 11 57   -44
2015  76 11 58   -45
2015  76 11 59   -47
2015  76 12  0   -47
2015  76 12  1   -46
2015  76 12  2   -43
2015  76 12  3   -41
2015  76 12  4   -40
2015  76 12  5   -39
2015  76 12  6   -38
2015  76 12  7   -39
2015  76 12  8   -45
2015  76 12  9   -52
2015  76 12 10   -55
2015  76 12 11   -51
2015  76 12 12   -43
2015  76 12 13   -46
2015  76 12 14   -47
2015  76 12 15   -44
2015  76 12 16   -41
2015  76 12 17   -43
2015  76 12 18   -45
2015  76 12 19   -47
2015  76 12 20   -47
2015  76 12 21   -48
2015  76 12 22   -48
2015  76 12 23   -47
2015  76 12 24   -46
2015  76 12 25   -44
2015  76 12 26   -44
2015  76 12 27   -45
2015  76 12 28   -43
2015  76 12 29   -44
2015  76 12 30   -44
2015  76 12 31   -45
2015  76 12 32   -50
2015  76 12 33   -55
2015  76 12 34   -54
2015  76 12 35   -52
2015  76 12 36   -51
2015  76 12 37   -53
2015  76 12 38   -55
2015  76 12 39   -55
2015  76 12 40   -56
2015  76 12 41   -58
2015  76 12 42   -61
2015  76 12 43   -63
2015  76 12 44   -63
2015  76 12 45   -63
2015  76 12 46   -63
2015  76 12 47   -64
2015  76 12 48   -67
2015  76 12 49   -67
2015  76 12 50   -66
2015  76 12 51   -65
2015  76 12 52   -67
2015  76 12 53   -69
2015  76 12 54   -72
2015  76 12 55   -74
2015  76 12 56   -75
2015  76 12 57   -74
2015  76 12 58   -77
2015  76 12 59   -79
2015  76 13  0   -80
2015  76 13  1   -81
2015  76 13  2   -83
2015  76 13  3   -84
2015  76 13  4   -82
2015  76 13  5   -83
2015  76 13  6   -84
2015  76 13  7   -86
2015  76 13  8   -85
2015  76 13  9   -87
2015  76 13 10   -87
2015  76 13 11   -86
2015  76 13 12   -87
2015  76 13 13   -89
2015  76 13 14   -90
2015  76 13 15   -89
2015  76 13 16   -91
2015  76 13 17   -92
2015  76 13 18   -92
2015  76 13 19   -92
2015  76 13 20   -93
2015  76 13 21   -94
2015  76 13 22   -93
2015  76 13 23   -93
2015  76 13 24   -93
2015  76 13 25   -93
2015  76 13 26   -94
2015  76 13 27   -94
2015  76 13 28   -82
2015  76 13 29   -76
2015  76 13 30   -73
2015  76 13 31   -76
2015  76 13 32   -74
2015  76 13 33   -73
2015  76 13 34   -75
2015  76 13 35   -78
2015  76 13 36   -75
2015  76 13 37   -80
2015  76 13 38   -70
2015  76 13 39   -73
2015  76 13 40   -78
2015  76 13 41   -77
2015  76 13 42   -77
2015  76 13 43   -76
2015  76 13 44   -77
2015  76 13 45   -75
2015  76 13 46   -77
2015  76 13 47   -79
2015  76 13 48   -77
2015  76 13 49   -76
2015  76 13 50   -70
2015  76 13 51   -68
2015  76 13 52   -64
2015  76 13 53   -53
2015  76 13 54   -58
2015  76 13 55   -69
2015  76 13 56   -73
2015  76 13 57   -75
2015  76 13 58   -77
2015  76 13 59   -76
2015  76 14  0   -78
2015  76 14  1   -82
2015  76 14  2   -80
2015  76 14  3   -80
2015  76 14  4   -82
2015  76 14  5   -88
2015  76 14  6   -88
2015  76 14  7   -79
2015  76 14  8   -83
2015  76 14  9   -82
2015  76 14 10   -79
2015  76 14 11   -83
2015  76 14 12   -83
2015  76 14 13   -84
2015  76 14 14   -89
2015  76 14 15   -88
2015  76 14 16   -88
2015  76 14 17   -90
2015  76 14 18   -95
2015  76 14 19   -98
2015  76 14 20   -95
2015  76 14 21   -92
2015  76 14 22   -90
2015  76 14 23   -90
2015  76 14 24   -89
2015  76 14 25   -86
2015  76 14 26   -86
2015  76 14 27   -87
2015  76 14 28   -83
2015  76 14 29   -81
2015  76 14 30   -82
2015  76 14 31   -83
2015  76 14 32   -83
2015  76 14 33   -84
2015  76 14 34   -86
2015  76 14 35   -87
2015  76 14 36   -89
2015  76 14 37   -90
2015  76 14 38   -88
2015  76 14 39   -86
2015  76 14 40   -77
2015  76 14 41   -77
2015  76 14 42   -79
2015  76 14 43   -79
2015  76 14 44   -83
2015  76 14 45   -85
2015  76 14 46   -86
2015  76 14 47   -89
2015  76 14 48   -89
2015  76 14 49   -89
2015  76 14 50   -91
2015  76 14 51   -91
2015  76 14 52   -92
2015  76 14 53   -94
2015  76 14 54   -95
2015  76 14 55   -97
2015  76 14 56   -99
2015  76 14 57  -100
2015  76 14 58   -98
2015  76 14 59  -100
2015  76 15  0   -99
2015  76 15  1  -100
2015  76 15  2   -99
2015  76 15  3   -99
2015  76 15  4  -105
2015  76 15  5  -106
2015  76 15  6  -103
2015  76 15  7  -100
2015  76 15  8  -102
2015  76 15  9  -103
2015  76 15 10  -101
2015  76 15 11  -104
2015  76 15 12  -104
2015  76 15 13  -105
2015  76 15 14  -108
2015  76 15 15  -109
2015  76 15 16  -113
2015  76 15 17  -115
2015  76 15 18  -116
2015  76 15 19  -119
2015  76 15 20  -118
2015  76 15 21  -119
2015  76 15 22  -121
2015  76 15 23  -125
2015  76 15 24  -129
2015  76 15 25  -134
2015  76 15 26  -132
2015  76 15 27  -123
2015  76 15 28  -124
2015  76 15 29  -123
2015  76 15 30  -124
2015  76 15 31  -122
2015  76 15 32  -122
2015  76 15 33  -125
2015  76 15 34  -126
2015  76 15 35  -130
2015  76 15 36  -133
2015  76 15 37  -134
2015  76 15 38  -133
2015  76 15 39  -134
2015  76 15 40  -137
2015  76 15 41  -138
2015  76 15 42  -138
2015  76 15 43  -140
2015  76 15 44  -140
2015  76 15 45  -140
2015  76 15 46  -140
2015  76 15 47  -137
2015  76 15 48  -136
2015  76 15 49  -137
2015  76 15 50  -137
2015  76 15 51  -137
2015  76 15 52  -136
2015  76 15 53  -138
2015  76 15 54  -139
2015  76 15 55  -142
2015  76 15 56  -141
2015  76 15 57  -142
2015  76 15 58  -144
2015  76 15 59  -144
2015  76 16  0  -143
2015  76 16  1  -142
2015  76 16  2  -144
2015  76 16  3  -146
2015  76 16  4  -147
2015  76 16  5  -146
2015  76 16  6  -145
2015  76 16  7  -146
2015  76 16  8  -149
2015  76 16  9  -151
2015  76 16 10  -152
2015  76 16 11  -152
2015  76 16 12  -153
2015  76 16 13  -155
2015  76 16 14  -156
2015  76 16 15  -156
2015  76 16 16  -157
2015  76 16 17  -157
2015  76 16 18  -157
2015  76 16 19  -156
2015  76 16 20  -155
2015  76 16 21  -155
2015  76 16 22  -154
2015  76 16 23  -154
2015  76 16 24  -154
2015  76 16 25  -155
2015  76 16 26  -156
2015  76 16 27  -156
2015  76 16 28  -154
2015  76 16 29  -152
2015  76 16 30  -149
2015  76 16 31  -146
2015  76 16 32  -144
2015  76 16 33  -143
2015  76 16 34  -144
2015  76 16 35  -145
2015  76 16 36  -145
2015  76 16 37  -146
2015  76 16 38  -146
2015  76 16 39  -146
2015  76 16 40  -146
2015  76 16 41  -145
2015  76 16 42  -145
2015  76 16 43  -145
2015  76 16 44  -146
2015  76 16 45  -147
2015  76 16 46  -148
2015  76 16 47  -152
2015  76 16 48  -152
2015  76 16 49  -152
2015  76 16 50  -153
2015  76 16 51  -153
2015  76 16 52  -152
2015  76 16 53  -152
2015  76 16 54  -151
2015  76 16 55  -150
2015  76 16 56  -151
2015  76 16 57  -151
2015  76 16 58  -151
2015  76 16 59  -151
2015  76 17  0  -150
2015  76 17  1  -150
2015  76 17  2  -151
2015  76 17  3  -152
2015  76 17  4  -153
2015  76 17  5  -152
2015  76 17  6  -152
2015  76 17  7  -154
2015  76 17  8  -155
2015  76 17  9  -154
2015  76 17 10  -155
2015  76 17 11  -158
2015  76 17 12  -159
2015  76 17 13  -160
2015  76 17 14  -161
2015  76 17 15  -162
2015  76 17 16  -162
2015  76 17 17  -163
2015  76 17 18  -163
2015  76 17 19  -163
2015  76 17 20  -164
2015  76 17 21  -164
2015  76 17 22  -165
2015  76 17 23  -167
2015  76 17 24  -169
2015  76 17 25  -171
2015  76 17 26  -171
2015  76 17 27  -175
2015  76 17 28  -177
2015  76 17 29  -176
2015  76 17 30  -173
2015  76 17 31  -172
2015  76 17 32  -171
2015  76 17 33  -167
2015  76 17 34  -165
2015  76 17 35  -164
2015  76 17 36  -162
2015  76 17 37  -163
2015  76 17 38  -164
2015  76 17 39  -164
2015  76 17 40  -162
2015  76 17 41  -159
2015  76 17 42  -157
2015  76 17 43  -154
2015  76 17 44  -151
2015  76 17 45  -147
2015  76 17 46  -144
2015  76 17 47  -142
2015  76 17 48  -139
2015  76 17 49  -136
2015  76 17 50  -135
2015  76 17 51  -136
2015  76 17 52  -136
2015  76 17 53  -136
2015  76 17 54  -135
2015  76 17 55  -136
2015  76 17 56  -136
2015  76 17 57  -136
2015  76 17 58  -138
2015  76 17 59  -139
2015  76 18  0  -139
2015  76 18  1  -139
2015  76 18  2  -140
2015  76 18  3  -140
2015  76 18  4  -139
2015  76 18  5  -140
2015  76 18  6  -140
2015  76 18  7  -140
2015  76 18  8  -141
2015  76 18  9  -141
2015  76 18 10  -141
2015  76 18 11  -142
2015  76 18 12  -144
2015  76 18 13  -145
2015  76 18 14  -144
2015  76 18 15  -144
2015  76 18 16  -144
2015  76 18 17  -145
2015  76 18 18  -146
2015  76 18 19  -147
2015  76 18 20  -146
2015  76 18 21  -146
2015  76 18 22  -145
2015  76 18 23  -146
